id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
5738,新石器时代红陶缽,新石器时代,无,三级,无,陕西博物馆,无,高5cm，口径12cm，0.270kg,陶器,无,https://www.sxhm.com/collections/detail/10053.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ab8587dff.jpg
5739,唐双环髻侍女图,唐,无,一级,无,陕西博物馆,无,长51cm，宽120cm，16.000kg,壁画,无,https://www.sxhm.com/collections/detail/10054.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ac96600df.jpg
5740,唐抱包裹侍女图,唐,无,一级,无,陕西博物馆,无,长59cm，宽120cm，17.000kg,壁画,无,https://www.sxhm.com/collections/detail/10055.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401acb411de2.jpg
5741,唐执扇捧盒侍女图,唐,无,一级,无,陕西博物馆,无,长131cm，宽175cm，36.000kg,壁画,无,https://www.sxhm.com/collections/detail/10056.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401acd653550.jpg
5742,新石器时代仰韶文化彩陶缽,新石器时代,无,三级,无,陕西博物馆,无,高15cm，口径23.8cm，0.685kg,陶器,无,https://www.sxhm.com/collections/detail/10057.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401acf4e4caa.jpg
5743,唐侍女图,唐,无,一级,无,陕西博物馆,无,长66cm，宽148cm，25.000kg,壁画,无,https://www.sxhm.com/collections/detail/10058.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ad057a340.jpg
5744,唐二人抬箱图,唐,无,一级,无,陕西博物馆,无,长122cm，宽76cm，19.000kg,壁画,无,https://www.sxhm.com/collections/detail/10059.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ad218035a.jpg
5745,新石器时代杯形罐,新石器时代,无,三级,无,陕西博物馆,无,高10.5cm，口径12cm，0.400kg,陶器,无,https://www.sxhm.com/collections/detail/10060.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ad2e721af.jpg
5746,唐列戟图,唐,无,一级,无,陕西博物馆,无,长141cm，宽164cm，50.000kg,壁画,无,https://www.sxhm.com/collections/detail/10061.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ad3c6948a.jpg
5747,唐捧盒侍女图,唐,无,一级,无,陕西博物馆,无,长77cm，宽159cm，24.000kg,壁画,无,https://www.sxhm.com/collections/detail/10062.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ad5725488.jpg
5748,新石器时代莲蓬口红陶瓶,新石器时代,无,三级,无,陕西博物馆,无,高39.5cm，口径3.5cm，3.370kg,陶器,无,https://www.sxhm.com/collections/detail/10063.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s6401ad5e5d850.JPG
