id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
48,《孔庙 孔府 孔林》特种邮票小全张,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681188735258624,https://www.chnmus.net/webfile/collection_img/_45281_/41000002_45281_B_1.JPG
49,《新中国治淮六十周年》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681189427318784,https://www.chnmus.net/webfile/collection_img/_45282_/41000002_45282_B_1.JPG
50,《孔庙 孔府 孔林》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681187984478208,https://www.chnmus.net/webfile/collection_img/_45280_/41000002_45280_B_1.JPG
51,《香格里拉》特种邮票小型张,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681186482917376,https://www.chnmus.net/webfile/collection_img/_45278_/41000002_45278_B_1.JPG
52,《民间传说--牛郎织女》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681185157517312,https://www.chnmus.net/webfile/collection_img/_45276_/41000002_45276_B_1.JPG
53,《珠江风韵.广州》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681183324606464,https://www.chnmus.net/webfile/collection_img/_45272_/41000002_45272_B_1.JPG
54,《楼兰故城遗址》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681183861477376,https://www.chnmus.net/webfile/collection_img/_45273_/41000002_45273_B_1.JPG
55,《中国航海日》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681184289296384,https://www.chnmus.net/webfile/collection_img/_45274_/41000002_45274_B_1.JPG
56,《香格里拉》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681185765691392,https://www.chnmus.net/webfile/collection_img/_45277_/41000002_45277_B_1.JPG
57,《第七届世界旅游旅行》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681182842261504,https://www.chnmus.net/webfile/collection_img/_45271_/41000002_45271_B_1.JPG
58,《外国音乐家》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681184704532480,https://www.chnmus.net/webfile/collection_img/_45275_/41000002_45275_B_1.JPG
59,《文彦博灌水浮球》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681181391032320,https://www.chnmus.net/webfile/collection_img/_45268_/41000002_45268_B_1.JPG
60,《中国2010年上海世博会开幕纪念)》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681180480868352,https://www.chnmus.net/webfile/collection_img/_45266_/41000002_45266_B_1.JPG
61,《中国古代书法--行书)》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681180929658880,https://www.chnmus.net/webfile/collection_img/_45267_/41000002_45267_B_1.JPG
