id,name,time,leve,location(仅镇馆之宝有),size,material,describe(仅镇馆之宝有),relic_url,img_url
6304,清描金人物故事纹盒,清,二级,,长28.5cm，宽19.5cm，高11.5cm，0.759kg,其他,,https://www.sxhm.com/collections/detail/11374.html,htps:/Uploads/Picture/2023/04/13/s6437b41164a7f.jpg
6305,清水鸟球路纹铜投壶,清,一般,,高48.5cm，口径9cm，10.590kg,铜器,,https://www.sxhm.com/collections/detail/11375.html,htps:/Uploads/Picture/2023/04/13/s6437b420e78e6.JPG
6306,清变形兽面纹铜壶,清,一般,,高42cm，口径11cm，4.670kg,铜器,,https://www.sxhm.com/collections/detail/11376.html,htps:/Uploads/Picture/2023/04/13/s6437b43f292c3.JPG
6307,清变形兽面纹铜壶,清,一般,,高42cm，口径10.6cm，4.885kg,铜器,,https://www.sxhm.com/collections/detail/11377.html,htps:/Uploads/Picture/2023/04/13/s6437b459ec922.JPG
6308,清枣红雕漆开光人物纹瓶,清,一般,,口径7.2cm，高24.5cm，0.360kg,其他,,https://www.sxhm.com/collections/detail/11378.html,htps:/Uploads/Picture/2023/04/13/s6437b45b71bc6.jpg
6309,清环带纹铜盨,清,一般,,高15.7cm，口径12×11cm，4.652kg,铜器,,https://www.sxhm.com/collections/detail/11379.html,htps:/Uploads/Picture/2023/04/13/s6437b480e0d4b.JPG
6310,清龙纹带狮钮铜香炉,清,一般,,通高24.1cm，口径8.3cm，1.353kg,铜器,,https://www.sxhm.com/collections/detail/11380.html,htps:/Uploads/Picture/2023/04/13/s6437b4a1eb295.JPG
6311,清仿汉虎噬牛铜案,清,一般,,高6.7cm，长12cm，0.327kg,铜器,,https://www.sxhm.com/collections/detail/11381.html,htps:/Uploads/Picture/2023/04/13/s6437b4bacaa2e.JPG
6312,清藏传佛教擦擦印模,清,一般,,高8.7cm，面高7.8cm，面宽6.5cm，0.435kg,铜器,,https://www.sxhm.com/collections/detail/11382.html,htps:/Uploads/Picture/2023/04/13/s6437b4d5b2cd9.JPG
6313,清童子骑狮铜像,清,一般,,通高25cm，通长28cm，6.308kg,铜器,,https://www.sxhm.com/collections/detail/11383.html,htps:/Uploads/Picture/2023/04/13/s6437b4ef8f437.JPG
6314,清景泰蓝花盆,清,三级,,长27.6cm，宽21.8cm，高13.6cm，1.685kg,铜器,,https://www.sxhm.com/collections/detail/11384.html,htps:/Uploads/Picture/2023/04/13/s6437b50c37c97.jpg
6315,清黑底螺钿漆笔筒,清,一般,,口径10.5cm，高12.5cm，0.120kg,其他,,https://www.sxhm.com/collections/detail/11385.html,htps:/Uploads/Picture/2023/04/13/s6437b509ca32a.jpg
6316,清景泰蓝花盆,清,三级,,长27.6cm，宽21.8cm，高13.6cm，1.684kg,铜器,,https://www.sxhm.com/collections/detail/11386.html,htps:/Uploads/Picture/2023/04/13/s6437b5265bb47.jpg
6317,清象首形足铜薰炉,清,一般,,通高37.1cm，口径17.3cm，5.705kg,铜器,,https://www.sxhm.com/collections/detail/11387.html,htps:/Uploads/Picture/2023/04/13/s6437b5422dcaf.JPG
